title,price,item_url,image_url,category
"Fruity Loops Sugar Scrub, emulsified sugar scrub, Exfoliate skin care, self care, Gift for her, spa day",224.95,https://www.etsy.com/ca/listing/768426485/makeup-beauty-mystery-box-gift-set?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-26&organic_search_click=1&s2llc=1,https://i.etsystatic.com/21549809/d/il/dd6026/2414137041/il_340x270.2414137041_s7p2.jpg?version=1,beauty
"SUGAR BUNDLE | 100% Organic and Natural- Preservative Free, Chemical Free, Vegan, Gluten Free, and Paraben Free",49.00,https://www.etsy.com/ca/listing/957130751/lux-beauty-eyebrow-razors-exfoliating?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-27&organic_search_click=1&s2llc=1,https://i.etsystatic.com/22764758/d/il/33f5b8/2785164735/il_340x270.2785164735_m50a.jpg?version=0,beauty
"The Eclipse Blue Tansy Night Care Butter Balm - 100% Natural, Vegan & Pure - Burst Botanicals (Made in Canada)",6.00,https://www.etsy.com/ca/listing/998174641/rose-petal-wildberry-soap-bars?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-28&organic_search_click=1&s2llc=1,https://i.etsystatic.com/7411632/d/il/d422e9/2429090439/il_340x270.2429090439_nc6s.jpg?version=0,beauty
Facial roller ( natural stone and crystal),15.95,https://www.etsy.com/ca/listing/919788867/beauty-of-trees-earrings?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-29&organic_search_click=1&s2llc=1,https://i.etsystatic.com/28638882/d/il/8132df/3166305543/il_340x270.3166305543_8qn3.jpg?version=0,beauty
Mystery box,36.50,https://www.etsy.com/ca/listing/881442971/flowers-isaiah-613beauty-from-the-ashes?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-30&organic_search_click=1&s2llc=1,https://i.etsystatic.com/29544165/d/il/7c09e5/3058692362/il_340x270.3058692362_eg26.jpg?version=0,beauty
Vintage 1950's Winnipeg Broadway Beauty Bar Gold Tone Bates Smoothie Nail File.  **FREE Shipping**,6.45,https://www.etsy.com/ca/listing/844197573/simple-plants-scrunchies?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-31&organic_search_click=1&s2llc=1,https://i.etsystatic.com/9958966/d/il/0f4bcb/2896972708/il_340x270.2896972708_rkcd.jpg?version=0,beauty
Purple Cloud Matte Press On Nails Short Coffin 20PC Full Set,18.99,https://www.etsy.com/ca/listing/830497896/refreshing-facial-masks-peel-off-choose?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-32&organic_search_click=1&s2llc=1,https://i.etsystatic.com/22486819/d/il/b9200e/3032855513/il_340x270.3032855513_1erd.jpg?version=0,beauty
"Punk, Princesses, Disney, Sleeping Beauty, Wonderland, Peter Pan, Little Mermaid, Aladdin, Fuck The Patriarchy, Acrylic, Brooch, Holidays",40.00,https://www.etsy.com/ca/listing/894179229/self-gift-vegan-makeup-lip-gloss?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-33&organic_search_click=1&s2llc=1,https://i.etsystatic.com/13745032/d/il/f388c8/2754470485/il_340x270.2754470485_b6lr.jpg?version=0,beauty
Roses & Darkness,26.07,https://www.etsy.com/ca/listing/1028560384/beauty-the-beast-stained-glass-printed?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-34&organic_search_click=1&s2llc=1,https://i.etsystatic.com/24451465/c/1493/1187/402/1398/il/83278e/2541215475/il_340x270.2541215475_81ko.jpg,beauty
Beauty and the Beast - Lumiere Pin,22.00,https://www.etsy.com/ca/listing/194604171/pumpkin-spice-natural-perfume-essential?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-35&organic_search_click=1&s2llc=1,https://i.etsystatic.com/25124529/c/3000/2384/0/448/il/999e58/2753570488/il_340x270.2753570488_l1yw.jpg,beauty
